City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Arkhangelsk,RU,66.31,clear sky,64.5401,40.5433,DVINA HOTEL
366,San Jose,US,79.5,scattered clouds,37.3394,-121.895,The Westin San Jose
368,Palembang,ID,77.09,haze,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
370,Dongsheng,CN,76.41,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
374,Tual,ID,77.99,broken clouds,-5.6667,132.75,Grand Vilia Hotel
377,Namibe,AO,64.47,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
378,Lagoa,PT,72.82,broken clouds,39.05,-27.9833,Casa Das Faias
379,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
380,Isiro,CD,68.7,light rain,2.7739,27.616,Guest House Hewa Bora
381,Cristalina,BR,75.94,clear sky,-16.7686,-47.6136,HOTEL TOPAZIO
383,Victor Harbor,AU,53.67,overcast clouds,-35.5667,138.6167,McCracken Country Club
385,Viedma,AR,54.14,broken clouds,-40.8135,-62.9967,Hotel Cristal
388,Alofi,NU,67.89,clear sky,-19.0595,-169.9187,Taloa Heights
390,Kalmar,SE,75.58,scattered clouds,56.6616,16.3616,First Hotel Witt
391,Aklavik,CA,57.2,shower rain,68.2191,-135.0107,Aklavik Inn
392,Bodmin,GB,73.44,few clouds,50.4715,-4.7243,Lanhydrock Hotel and Golf Club
393,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
394,Coquimbo,CL,55.13,broken clouds,-29.9533,-71.3436,Hotel San Juan
395,Chimbote,PE,66.31,overcast clouds,-9.0853,-78.5783,Hotel Briliá
398,Honiara,SB,76.26,few clouds,-9.4333,159.95,Heritage Park Hotel
399,Durban,ZA,68.02,scattered clouds,-29.8579,31.0292,Hilton Durban
401,Chernyshevskiy,RU,55.54,overcast clouds,63.0128,112.4714,Chernyseyskiy
405,Mollendo,PE,62.22,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
407,Katherine,AU,59.38,broken clouds,-14.4667,132.2667,Pine Tree Motel
412,Vung Tau,VN,77.9,overcast clouds,10.346,107.0843,Seaside Resort
414,Iisalmi,FI,73.74,overcast clouds,63.5592,27.1907,Original Sokos Hotel Koljonvirta
417,Ulaangom,MN,63.91,broken clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
418,Zhigansk,RU,56.34,light rain,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
420,Concepcion Del Oro,MX,77.31,clear sky,24.6333,-101.4167,Hotel Hacienda San Javier
423,Severnyy,RU,60.84,clear sky,50.677,36.5532,Full House North Mini-Hotel
424,Yining,CN,79.16,light rain,29.0361,114.5636,Xiushui Hotel
425,Biggar,GB,68.29,overcast clouds,55.6167,-3.5167,The Mill Bed and Breakfast
426,Kuching,MY,77.22,moderate rain,1.55,110.3333,Hilton Kuching
428,Hambantota,LK,79.54,moderate rain,6.1241,81.1185,Bungalow 63
429,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
430,Marawi,PH,68.79,overcast clouds,7.9986,124.2928,Derogongan Residence
432,Nacala,MZ,70.75,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
433,Hofn,IS,55.42,overcast clouds,64.2539,-15.2082,Hótel Höfn
434,Padang,ID,77.61,overcast clouds,-0.9492,100.3543,Mercure Padang
436,Atbasar,KZ,64.42,few clouds,51.8,68.3333,Гостиничный Комплекс Saad
437,Daugavpils,LV,74.08,few clouds,55.8833,26.5333,Dinaburg SPA Hotel
438,Sisophon,KH,73.87,overcast clouds,13.5859,102.9737,Pyramid Hotel
442,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
