City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Monte Alegre De Minas,BR,-18.8706,-48.8808,84.18,25,6,10.71,clear sky
123,Lasa,IT,46.6166,10.7002,83.28,69,53,2.06,broken clouds
124,Hermanus,ZA,-34.4187,19.2345,49.8,75,48,2.39,scattered clouds
125,Nipawin,CA,53.3668,-104.0009,71.64,56,0,16.11,clear sky
126,Vilyuysk,RU,63.7553,121.6247,58.01,97,100,9.42,overcast clouds
127,Biltine,TD,14.5333,20.9167,91.78,36,46,6.85,scattered clouds
128,Wuwei,CN,37.9281,102.6414,56.32,67,41,5.3,scattered clouds
129,Oroshaza,HU,46.5667,20.6667,96.94,16,1,15.35,clear sky
130,Sokolo,ML,14.7328,-6.1219,90.73,46,100,14.05,overcast clouds
131,Kropotkin,RU,45.4375,40.5756,71.11,34,52,9.1,broken clouds
132,Mana,GF,5.6592,-53.7767,83.05,74,56,7.96,broken clouds
133,Bontang,ID,0.1333,117.5,80.6,81,93,7.11,overcast clouds
134,Richards Bay,ZA,-28.783,32.0377,65.75,88,10,5.79,clear sky
135,North Smithfield,US,41.9668,-71.5495,93.81,61,0,5.75,clear sky
136,Saskylakh,RU,71.9167,114.0833,48.24,73,99,11.21,overcast clouds
137,Parkes,AU,-33.1333,148.1833,43.36,81,42,7.29,scattered clouds
138,Chapais,CA,49.7834,-74.8492,71.38,81,58,14.74,broken clouds
139,Fukue,JP,32.6881,128.8419,77.52,78,72,15.95,broken clouds
140,Byron Bay,AU,-28.65,153.6167,58.96,81,96,20.4,light rain
141,Liuzhou,CN,24.3126,109.3892,79.3,85,34,3.53,scattered clouds
142,Leshukonskoye,RU,64.8989,45.7622,68.92,54,25,7.4,scattered clouds
143,Balabac,PH,7.9868,117.0645,81.93,79,98,3.67,overcast clouds
144,Kieta,PG,-6.2167,155.6333,79.29,78,85,2.04,overcast clouds
145,Darhan,MN,49.4867,105.9228,54.99,96,100,0.92,overcast clouds
146,Leningradskiy,RU,69.3833,178.4167,33.48,99,100,12.97,light snow
147,Geraldton,AU,-28.7667,114.6,61.63,62,54,11.65,broken clouds
148,Villanueva,HN,15.3167,-88.0,85.19,66,75,2.3,broken clouds
149,Tandil,AR,-37.3217,-59.1332,52.68,27,69,6.78,broken clouds
150,Shimoda,JP,34.6667,138.95,75.11,84,99,6.64,overcast clouds
151,Ucluelet,CA,48.9329,-125.5528,55.71,82,68,6.71,broken clouds
152,Cayenne,GF,4.9333,-52.3333,87.84,18,21,5.75,few clouds
153,Bubaque,GW,11.2833,-15.8333,78.48,86,85,19.8,overcast clouds
154,Lafiagi,NG,8.8667,5.4167,81.86,79,76,2.89,light rain
155,Woodland,US,38.6785,-121.7733,83.32,58,0,4.61,clear sky
156,Mar Del Plata,AR,-38.0023,-57.5575,56.08,61,0,14.0,clear sky
157,Jatiroto,ID,-7.8833,111.1167,70.39,92,34,3.71,scattered clouds
158,Esplanada,BR,-11.7961,-37.945,82.11,51,46,9.69,scattered clouds
159,Yelabuga,RU,55.7613,52.0649,71.15,74,45,2.71,scattered clouds
160,Cabo San Lucas,MX,22.8909,-109.9124,98.62,45,0,11.5,clear sky
161,Georgetown,MY,5.4112,100.3354,83.89,89,20,3.44,few clouds
162,Nikolskoye,RU,59.7035,30.7861,76.91,62,0,2.73,clear sky
163,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,100,100,6.91,light rain
164,Krasnoselkup,RU,65.7,82.4667,50.83,83,64,4.59,broken clouds
165,State College,US,40.7934,-77.86,86.29,59,40,16.11,scattered clouds
166,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,65,40,12.66,scattered clouds
167,New Norfolk,AU,-42.7826,147.0587,38.91,83,0,2.98,clear sky
168,Sakakah,SA,29.9697,40.2064,108.97,10,0,11.95,clear sky
169,Chiredzi,ZW,-21.05,31.6667,71.69,44,83,2.48,broken clouds
170,Garissa,KE,-0.4536,39.6401,79.0,58,64,23.22,broken clouds
171,Sayyan,YE,15.1718,44.3244,67.19,52,88,6.22,overcast clouds
172,Rudnya,RU,54.947,31.0934,65.91,79,10,8.77,clear sky
173,Omsukchan,RU,62.5333,155.8,43.93,75,40,5.66,scattered clouds
174,Kyshtovka,RU,56.555,76.6271,58.08,97,96,3.8,overcast clouds
175,Bissau,GW,11.8636,-15.5977,87.91,66,40,10.36,scattered clouds
176,Kununurra,AU,-15.7667,128.7333,68.0,30,8,5.53,clear sky
177,Narimanov,RU,46.6927,47.8498,76.95,60,92,11.34,overcast clouds
178,Kahului,US,20.8947,-156.47,73.42,83,40,8.05,light rain
179,Moerai,PF,-22.4333,-151.3333,71.31,58,83,26.66,broken clouds
180,Avarua,CK,-21.2078,-159.775,71.65,73,75,12.66,broken clouds
181,Ponta Do Sol,PT,32.6667,-17.1,75.13,64,1,3.76,clear sky
182,Watertown,US,42.3709,-71.1828,95.52,56,20,18.41,few clouds
183,Portland,US,45.5234,-122.6762,74.77,69,20,5.75,few clouds
184,Prince Rupert,CA,54.3161,-130.3201,57.29,84,100,6.91,overcast clouds
185,Port-Gentil,GA,-0.7193,8.7815,78.76,78,40,12.66,scattered clouds
186,Flinders,AU,-34.5833,150.8552,59.38,75,100,5.99,overcast clouds
187,Gamba,GA,-2.65,10.0,73.36,81,25,9.08,scattered clouds
188,Bereda,ES,43.2686,-7.5406,73.42,89,12,7.0,few clouds
189,Poum,NC,-20.2333,164.0167,76.14,89,5,24.09,clear sky
190,Catia La Mar,VE,10.6038,-67.0303,91.99,60,16,8.75,few clouds
191,Isangel,VU,-19.55,169.2667,76.59,85,16,11.56,few clouds
192,Victoria,HK,22.2855,114.1577,87.33,74,0,1.99,clear sky
193,Sulangan,PH,11.1373,123.7228,84.25,75,100,8.59,overcast clouds
194,Udachnyy,RU,66.4167,112.4,48.45,100,100,2.04,light rain
195,Rio Grande,BR,-32.035,-52.0986,73.51,93,100,4.27,light rain
196,Teguise,ES,29.0605,-13.564,80.82,58,0,25.32,clear sky
197,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,6.91,broken clouds
198,Oktyabrskiy,RU,54.4815,53.471,62.73,74,96,3.96,overcast clouds
199,Hasaki,JP,35.7333,140.8333,79.29,91,100,12.93,overcast clouds
200,Hamilton,US,39.1834,-84.5333,87.89,62,40,12.66,scattered clouds
201,Carnarvon,AU,-24.8667,113.6333,65.59,68,68,16.73,broken clouds
202,Mount Isa,AU,-20.7333,139.5,49.53,35,2,12.57,clear sky
203,Mangan,IN,27.5167,88.5333,76.87,91,100,1.41,light rain
204,Bathsheba,BB,13.2167,-59.5167,86.61,84,40,23.02,scattered clouds
205,Vitim,RU,59.4511,112.5578,62.1,75,92,1.45,overcast clouds
206,Loukhi,RU,66.0764,33.0381,73.06,63,80,0.76,broken clouds
207,Mecca,SA,21.4267,39.8261,92.46,41,7,7.38,clear sky
208,Gari,RU,59.4307,62.3497,59.45,80,52,6.64,broken clouds
209,Sao Luis,BR,-2.5297,-44.3028,91.6,43,40,6.91,scattered clouds
210,Mastic Beach,US,40.7668,-72.8521,91.71,82,75,13.8,broken clouds
211,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,40,11.5,light rain
212,Saldanha,ZA,-33.0117,17.9442,55.45,73,50,9.04,scattered clouds
213,Manokwari,ID,-0.8667,134.0833,78.1,82,73,3.78,broken clouds
214,Jining,CN,35.405,116.5814,75.61,78,0,4.47,clear sky
215,Broome,US,42.2506,-75.833,91.45,51,75,14.97,broken clouds
216,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,100,100,2.24,light rain
217,Port Lincoln,AU,-34.7333,135.8667,54.79,68,100,14.14,overcast clouds
218,West Bay,KY,19.3667,-81.4167,87.87,66,40,9.22,scattered clouds
219,Litovko,RU,49.2361,135.1742,60.37,84,89,8.61,overcast clouds
220,Zuwarah,LY,32.9312,12.082,82.87,62,0,16.89,clear sky
221,Mahebourg,MU,-20.4081,57.7,69.26,88,40,11.5,scattered clouds
222,Saint-Pierre,RE,-21.3393,55.4781,66.29,75,0,4.61,clear sky
223,Antofagasta,CL,-23.65,-70.4,58.28,70,51,6.76,broken clouds
224,Broken Hill,AU,-31.95,141.4333,45.48,88,40,9.53,scattered clouds
225,Tevaitoa,PF,-16.7833,-151.5,76.53,75,22,12.84,light rain
226,Baruun-Urt,MN,46.6806,113.2792,71.8,45,55,11.92,broken clouds
227,Campoverde,PE,-8.4753,-74.8058,85.69,41,35,2.28,scattered clouds
228,Souillac,MU,-20.5167,57.5167,68.38,88,40,11.5,light rain
229,Ourossogui,SN,15.6064,-13.3211,95.0,59,75,2.3,thunderstorm
230,Mandali,IQ,33.7499,45.5541,104.31,9,0,10.65,clear sky
231,Qovlar,AZ,40.948,45.735,76.5,54,40,13.94,scattered clouds
232,Port Moresby,PG,-9.4431,147.1797,75.94,90,88,4.97,overcast clouds
233,Saint-Louis,SN,16.3333,-15.0,98.24,42,89,9.13,overcast clouds
234,Angoche,MZ,-16.2325,39.9086,72.48,69,1,5.79,clear sky
235,Quatre Cocos,MU,-20.2078,57.7625,69.1,72,70,19.84,light rain
